ID,Kata,SukuKata,Sampa,SukuSampa
490,bertahan,ber-ta-han,b@rtVhVn,b.@.r-t.V-h.V.n
491,termasuk,ter-ma-suk,t@rmVsUk,t.@.r-m.V-s.U.k
492,tutup,tu-tup,tUtUp,t.U-t.U.p
493,marah,ma-rah,mVrVh,m.V-r.V.h
494,barat,ba-rat,bVrVt,b.V-r.V.t
495,membaca,mem-ba-ca,m@mbVtSV,m.@.m-b.V-tS.V
496,sesuai,se-su-ai,s@sU_aI,s.@-s.U-_aI
497,utara,u-ta-ra,UtVrV,U-t.V-r.V
498,membayar,mem-ba-yar,m@mbVjVr,m.@.m-b.V-j.V.r
499,kelas,ke-las,kelVs,k.e-l.V.s
500,terlambat,ter-lam-bat,t@rlVmbVt,t.@.r-l.V.m-b.V.t
501,kanan,ka-nan,kVnVn,k.V-n.V.n
502,khusus,khu-sus,hUsUs,h.U-s.U.s
503,tugas,tu-gas,tUgVs,t.U-g.V.s
504,udara,u-da-ra,UdVrV,U-d.V-r.V
505,segala,se-ga-la,s@gVlV,s.@-g.V-l.V
506,tahan,ta-han,tVhVn,t.V-h.V.n
507,jawab,ja-wab,dZVwVb,dZ.V-w.V.b
508,perintah,pe-rin-tah,p@rIntVh,p.@-r.I.n-t.V.h
509,dana,da-na,dVnV,d.V-n.V
510,panjang,pan-jang,pVndZVN,p.V.n-dZ.V.N
511,timur,ti-mur,tImUr,t.I-m.U.r
512,bahagia,ba-ha-gia,bVhVgIV,b.V-h.V-g.I.V
513,setengah,se-te-ngah,s@teNVh,s.@-t.e-N.V.h
514,berat,be-rat,berVt,b.e-r.V.t
515,sempurna,sem-pur-na,s@mpUrnV,s.@.m-p.U.r-n.V
516,tampaknya,tam-pak-nya,tVmpVknYV,t.V.m-p.V.k-nY.V
517,petugas,pe-tu-gas,p@tUgVs,p.@-t.U-g.V.s
518,acara,a-ca-ra,VtSVrV,V-tS.V-r.V
519,istri,is-tri,IstrI,I.s-t.r.I
520,wilayah,wi-la-yah,wIlVjVh,w.I-l.V-j.V.h
521,serangan,se-rang-an,s@rVNVn,s.@-r.V.N-V.n
522,penjara,pen-ja-ra,p@ndZVrV,p.@.n-dZ.V-r.V
523,arah,a-rah,VrVh,V-r.V.h
524,rasanya,ra-sa-nya,rVsVnYV,r.V-s.V-nY.V
525,pesta,pes-ta,pestV,p.e.s-t.V
526,menyesal,me-nye-sal,m@nYesVl,m.@-nY.e-s.V.l
527,berita,be-ri-ta,b@rItV,b.@-r.I-t.V
528,menteri,men-te-ri,m@nterI,m.@.n-t.e-r.I
529,semacam,se-ma-cam,s@mVtSVm,s.@-m.V-tS.V.m
530,ikan,i-kan,IkVn,I-k.V.n
531,merah,ma-rah,merVh,m.e-r.V.h
532,agak,a-gak,VgVk,V-g.V.k
533,membeli,mem-be-li,m@mbelI,m.@.m-b.e-l.I
534,tubuh,tu-buh,tUbUh,t.U-b.U.h
535,miliar,mi-li-ar,mIlIVr,m.I-l.I-V.r
536,tembak,tem-bak,tembVk,t.e.m-b.V.k
537,pikiran,pi-kir-an,pIkIrVn,p.I-k.I.r-V.n
538,ulang,u-lang,UlVN,U-l.V.N
539,terbuka,ter-bu-ka,t@rbUkV,t.@.r-b.U-k.V
540,iya,i-ya,IjV,I-j.V
541,membuka,mem-bu-ka,m@mbUkV,m.@.m-b.U-k.V
542,uh,uh,Uh,U.h
543,kiri,ki-ri,kIrI,k.I-r.I
544,janji,jan-ji,dZVndZI,dZ.V.n-dZ.I
545,harap,ha-rap,hVrVp,h.V-r.V.p
546,menulis,me-nu-lis,m@nUlIs,m.@-n.U-l.I.s
547,sang,sang,sVN,s.V.N
548,allah,allah,VlVh,V.l.V.h
549,burung,bu-rung,bUrUN,b.U-r.U.N
550,beruntung,ber-un-tung,b@rUntUN,b.@.r-U.n-t.U.N
551,bebas,be-bas,bebVs,b.e-b.V.s
552,kelompok,ke-lom-pok,k@lQmpQk,k.@-l.Q.m-p.Q.k
553,terkait,ter-ka-it,terkaIt,t.e.r-k.a-I.t
554,meskipun,mes-ki-pun,m@skIpUn,m.@.s-k.I-p.U.n
555,putih,pu-tih,pUtIh,p.U-t.I.h
556,nona,no-na,nQnV,n.Q-n.V
557,kunci,kun-ci,kUntSI,k.U.n-tS.I
558,siang,si-ang,sIVN,s.I-V.N
559,bahan,ba-han,bVhVn,b.V-h.V.n
560,proses,pro-ses,prQs@s,p.r.Q-s.@.s
561,laporan,la-po-ran,lVpQrVn,l.V-p.Q-r.V.n
562,langkah,lang-kah,lVNkVh,l.V.N-k.V.h
563,tingkat,ting-kat,tINkVt,t.I.N-k.V.t
564,milik,mi-lik,mIlIk,m.I-l.I.k
565,huh,huh,hUh,h.U.h
566,lagu,la-gu,lVgU,l.V-g.U
567,mimpi,mim-pi,mImpI,m.I.m-p.I
568,musik,mu-sik,mUsIk,m.U-s.I.k
569,benda,ben-da,b@ndV,b.@.n-d.V
570,bukti,buk-ti,bUktI,b.U.k-t.I
571,kenal,ke-nal,k@nVl,k.@-n.V.l
572,alam,a-lam,VlVm,V-l.V.m
573,memakai,me-ma-kai,m@mVkaI,m.@-m.V-k.aI
574,tau,tau,taU,t.a.U
575,wajah,wa-jah,wVdZVh,w.V-dZ.V.h
576,batu,ba-tu,bVtU,b.V-t.U
577,menangkap,me-nang-kap,m@nVNkVp,m.@-n.V.N-k.V.p
578,bantu,ban-tu,bVntU,b.V.n-t.U
579,sebanyak,se-ba-nyak,s@bVnYVk,s.@-b.V-nY.V.k
580,pindah,pin-dah,pIndVh,p.I.n-d.V.h
581,gambar,gam-bar,gVmbVr,g.V.m-b.V.r
582,semoga,se-mo-ga,s@mQgV,s.@-m.Q-g.V
583,bergabung,ber-ga-bung,b@rgVbUN,b.@.r-g.V-b.U.N
584,prajurit,pra-ju-rit,prVdZUrIt,p.r.V-dZ.U-r.I.t
585,manis,ma-nis,mVnIs,m.V-n.I.s
586,detik,de-tik,detIk,d.e-t.I.k
587,nilai,ni-lai,nIlaI,n.I-l.aI
588,sedang,se-dang,sedVN,s.e-d.V.N
589,kan,kan,kVn,k.V.n
590,adanya,a-da-nya,VdVnYV,V-d.V-nY.V
591,lokasi,lo-ka-si,lQkVsI,l.Q-k.V-s.I
592,tertawa,ter-ta-wa,t@rtVwV,t.@.r-t.V-w.V
593,asing,a-sing,VsIN,V-s.I.N
594,tujuan,tu-ju-an,tUdZUVn,t.U-dZ.U-V.n
595,maupun,ma-u-pun,maUpUn,m.a-U-p.U.n
596,sebab,se-bab,sebVb,s.e-b.V.b
597,tentara,ten-ta-ra,t@ntVrV,t.@.n-t.V-r.V
598,pribadi,pri-ba-di,prIbVdI,p.r.I-b.V-d.I
599,bercanda,ber-can-da,b@rtSVndV,b.@.r-tS.V.n-d.V
600,gedung,ge-dung,gedUN,g.e-d.U.N
601,setuju,se-tu-ju,s@tUdZU,s.@-t.U-dZ.U
602,hitam,hi-tam,hItVm,h.I-t.V.m
603,ternyata,ter-nya-ta,t@rnYVtV,t.@.r-nY.V-t.V
604,ketiga,ke-ti-ga,k@tIgV,k.@-t.I-g.V
605,jahat,ja-hat,dZVhVt,dZ.V-h.V.t
606,lantai,lan-tai,lVntaI,l.V.n-t.aI
607,budi,bu-di,bUdI,b.U-d.I
608,benci,ben-ci,b@ntSI,b.@.n-tS.I
609,putri,pu-tri,pUtrI,p.U-t.r.I
610,astaga,as-ta-ga,VstVgV,V.s-t.V-g.V
611,yaitu,ya-i-tu,jaItU,j.a-I-t.U
612,rakyat,rak-yat,rVkjVt,r.V.k-j.V.t
613,pembunuh,pem-bu-nuh,p@mbUnUh,p.@.m-b.U-n.U.h
614,usaha,u-sa-ha,UsVhV,U-s.V-h.V
615,alat,a-lat,VlVt,V-l.V.t
616,membangun,mem-ba-ngun,m@mbVNUn,m.@.m-b.V-N.U.n
617,emas,e-mas,emVs,e-m.V.s
618,terluka,ter-lu-ka,t@rlUkV,t.@.r-l.U-k.V
619,berani,be-ra-ni,b@rVnI,b.@-r.V-n.I
620,toko,to-ko,tQkQ,t.Q-k.Q
621,bentuk,ben-tuk,b@ntUk,b.@.n-t.U.k
622,hadiah,ha-di-ah,hVdIVh,h.V-d.I-V.h
623,jumpa,jum-pa,dZUmpV,dZ.U.m-p.V
624,unit,u-nit,UnIt,U-n.I.t
625,gagal,ga-gal,gVgVl,g.V-g.V.l
626,kadang,ka-dang,kVdVN,k.V-d.V.N
627,maju,ma-ju,mVdZU,m.V-dZ.U
628,pakai,pa-kai,pVkaI,p.V-k.aI
629,binatang,bi-na-tang,bInVtVN,b.I-n.V-t.V.N
630,menangis,me-na-ngis,m@nVNIs,m.@-n.V-N.I.s
631,sebelah,se-be-lah,s@belVh,s.@-b.e-l.V.h
632,badan,ba-dan,bVdVn,b.V-d.V.n
633,pohon,po-hon,pQhQn,p.Q-h.Q.n
634,tujuh,tu-juh,tUdZUh,t.U-dZ.U.h
635,betapa,be-ta-pa,b@tVpV,b.@-t.V-p.V
636,meski,mes-ki,meskI,m.e.s-k.I
637,mencuri,men-cu-ri,m@ntSUrI,m.@.n-tS.U-r.I
638,bunga,bu-nga,bUNV,b.U-N.V
639,agen,a-gen,Vg@n,V-g.@.n
640,data,da-ta,dVtV,d.V-t.V
641,es,es,@s,@.s
642,tanya,ta-nya,tVnYV,t.V-nY.V
643,sub,sub,sUb,s.U.b
644,hutan,hu-tan,hUtVn,h.U-t.V.n
645,obat,o-bat,QbVt,Q-b.V.t
646,cahaya,ca-ha-ya,tSVhVjV,tS.V-h.V-j.V
647,kartu,kar-tu,kVrtU,k.V.r-t.U
648,sejarah,se-ja-rah,s@dZVrVh,s.@-dZ.V-r.V.h
649,mulia,mu-li-a,mUlIV,m.U-l.I-V
650,politik,po-li-tik,pQlItIk,p.Q-l.I-t.I.k
651,main,ma-in,maIn,m.a-I.n
652,titik,ti-tik,tItIk,t.I-t.I.k
653,jenderal,jen-de-ral,dZ@nderVl,dZ.@.n-d.e-r.V.l
654,mengirim,me-ngi-rim,m@NIrIm,m.@-N.I-r.I.m
655,saling,sa-ling,sVlIN,s.V-l.I.N
656,aturan,a-tu-ran,VtUrVn,V-t.U.r-V.n
657,mantan,man-tan,mVntVn,m.V.n-t.V.n
658,hotel,ho-tel,hQt@l,h.Q-t.@.l
659,mengaku,meng-a-ku,m@NVkU,m.@.N-V-k.U
660,mengubah,meng-u-bah,m@NUbVh,m.@.N-U-b.V.h
661,musuh,mu-suh,mUsUh,m.U-s.U.h
662,karya,kar-ya,kVrjV,k.V.r-j.V
663,berjanji,ber-jan-ji,b@rdZVndZI,b.@.r-dZ.V.n-dZ.I
664,sampah,sam-pah,sVmpVh,s.V.m-p.V.h
665,paman,pa-man,pVmVn,p.V-m.V.n
666,jalur,ja-lur,dZVlUr,dZ.V-l.U.r
667,biaya,bi-a-ya,bIVjV,b.I-V-j.V
668,kuda,ku-da,kUdV,k.U-d.V
669,target,tar-get,tVrg@t,t.V.r-g.@.t
670,tersangka,ter-sang-ka,t@rsVNkV,t.@.r-s.V.N-k.V
671,berasal,ber-a-sal,b@rVsVl,b.@.r-V-s.V.l
672,kesini,ke-si-ni,k@sInI,k.@-s.I-n.I
673,foto,fo-to,fQtQ,f.Q-t.Q
674,pemimpin,pe-mim-pin,p@mImpIn,p.@-m.I.m-p.I.n
675,menonton,me-non-ton,m@nQntQn,m.@-n.Q.n-t.Q.n
676,maksud,mak-sud,mVksUd,m.V.k-s.U.d
677,sumber,sum-ber,sUmb@r,s.U.m-b.@.r
678,mandi,man-di,mVndI,m.V.n-d.I
679,neraka,ne-ra-ka,n@rVkV,n.@-r.V-k.V
680,bersih,ber-sih,bersIh,b.e.r-s.I.h
681,yakni,yak-ni,jVknI,j.V.k-n.I
682,panggil,pang-gil,pVNgIl,p.V.N-g.I.l
683,nyonya,nyo-nya,nYQnYV,nY.Q-nY.V
684,menyerang,me-nye-rang,m@nYerVN,m.@-nY.e-r.V.N
685,hujan,hu-jan,hUdZVn,h.U-dZ.V.n
686,kalah,ka-lah,kVlVh,k.V-l.V.h
687,pakaian,pa-kai-an,pVkaI_Vn,p.V-k.aI-_V.n
688,sungai,su-ngai,sUNaI,s.U-N.aI
689,pantai,pan-tai,pVntaI,p.V.n-t.aI
690,daging,da-ging,dVgIN,d.V-g.I.N
691,tindakan,tin-dak-an,tIndVkVn,t.I.n-d.V.k-V.n
692,makhluk,makh-luk,mVhlUk,m.V.h-l.U.k
693,panggilan,pang-gil-an,pVNgIlVn,p.V.N-g.I.l-V.n
694,pasangan,pa-sang-an,pVsVNVn,p.V-s.V.N-V.n
695,saham,sa-ham,sVhVm,s.V-h.V.m
696,lapangan,la-pang-an,lVpVNVn,l.V-p.V.N-V.n
697,harapan,ha-rap-an,hVrVpVn,h.V-r.V-p.V.n
698,lingkungan,ling-kung-an,lINkUNVn,l.I.N-k.U.N-V.n
699,bernama,ber-na-ma,b@rnVmV,b.@.r-n.V-m.V
700,ruangan,ru-ang-an,rUVNVn,r.U-V.N-V.n
701,akibat,a-ki-bat,VkIbVt,V-k.I-b.V.t
702,kamera,ka-me-ra,kVmerV,k.V-m.e-r.V
703,ahli,ah-li,VhlI,V.h-l.I
704,aksi,ak-si,VksI,V.k-s.I
705,proyek,pro-yek,prQj@k,p.r.Q-j.@.k
706,lupakan,lu-pa-kan,lUpVkVn,l.U-p.V-k.V.n
707,jiwa,ji-wa,dZIwV,dZ.I-w.V
708,tembakan,tem-bak-an,t@mbVkVn,t.@.m-b.V.k-V.n
709,terlibat,ter-li-bat,t@rlIbVt,t.@.r-l.I-b.V.t
710,bersalah,ber-sa-lah,b@rsVlVh,b.@.r-s.V-l.V.h
711,mencintai,men-cin-tai,m@ntSIntaI,m.@.n-tS.I.n-t.aI
712,memanggil,me-mang-gil,m@mVNgIl,m.@-m.V.N-g.I.l
713,kotak,ko-tak,kQtVk,k.Q-t.V.k
714,militer,mi-li-ter,mIlIt@r,m.I-l.I-t.@.r
715,tumbuh,tum-buh,tUmbUh,t.U.m-b.U.h
716,kulit,ku-lit,kUlIt,k.U-l.I.t
717,bangsa,bang-sa,bVNsV,b.V.N-s.V
718,pistol,pis-tol,pIstQl,p.I.s-t.Q.l
719,menutup,me-nu-tup,m@nUtUp,m.@-n.U-t.U.p
720,gubernur,gu-ber-nur,gUbernUr,g.U-b.e.r-n.U.r
721,menyerah,me-nye-rah,m@nYerVh,m.@-nY.e-r.V.h
722,sejauh,se-ja-uh,sedZaUh,s.e-dZ.a-U.h
723,mama,ma-ma,mVmV,m.V-m.V
724,produk,pro-duk,prQdUk,p.r.Q-d.U.k
725,lahir,la-hir,lVhIr,l.V-h.I.r
726,luka,lu-ka,lUkV,l.U-k.V
727,pekan,pe-kan,pekVn,p.e-k.V.n
728,jumat,jum-at,dZUmVt,dZ.U.m-V.t
729,tewas,te-was,tewVs,t.e-w.V.s
730,klub,klub,klUb,k.l.U.b
731,asal,a-sal,VsVl,V-s.V.l
732,truk,truk,trUk,t.r.U.k
733,wakil,wa-kil,wVkIl,w.V-k.I.l
734,berlangsung,ber-lang-sung,b@rlVNsUN,b.@.r-l.V.N-s.U.N
735,misi,mi-si,mIsI,m.I-s.I
736,catatan,ca-tat-an,tSVtVtVn,tS.V-t.V-t.V.n
737,jaga,ja-ga,dZVgV,dZ.V-g.V
738,senin,se-nin,senIn,s.e-n.I.n
739,menjual,men-ju-al,m@ndZUVl,m.@.n-dZ.U-V.l
740,pulau,pu-lau,pUlaU,p.U-l.a.U
741,berangkat,be-rang-kat,b@rVNkVt,b.@-r.V.N-k.V.t
742,minyak,mi-nyak,mInYVk,m.I-nY.V.k
743,sersan,ser-san,sersVn,s.e.r-s.V.n
744,industri,in-dus-tri,IndUstrI,I.n-d.U.s-t.r.I
745,bom,bom,bQm,b.Q.m
746,sibuk,si-buk,sIbUk,s.I-b.U.k
747,upaya,u-pa-ya,UpVjV,U-p.V-j.V
748,islam,is-lam,IslVm,I.s-l.V.m
749,sempat,sem-pat,sempVt,s.e.m-p.V.t
750,poin,po-in,pQIn,p.Q-I.n
751,mengganggu,meng-gang-gu,m@NgVNgU,m.@.N-g.V.N-g.U
752,pula,pu-la,pUlV,p.U-l.V
753,lanjut,lan-jut,lVndZUt,l.V.n-dZ.U.t
754,angin,a-ngin,VNIn,V-N.I.n
755,latihan,la-tih-an,lVtIhVn,l.V-t.I.h-V.n
756,sih,sih,sIh,s.I.h
757,kawasan,ka-wa-san,kVwVsVn,k.V-w.V-s.V.n
758,balik,ba-lik,bVlIk,b.V-l.I.k
759,macam,ma-cam,mVtSVm,m.V-tS.V.m
760,cocok,co-cok,tSQtSQk,tS.Q-tS.Q.k
761,meja,me-ja,medZV,m.e-dZ.V
762,memukul,me-mu-kul,m@mUkUl,m.@-m.U-k.U.l
763,berbohong,ber-bo-hong,b@rbQhQN,b.@.r-b.Q-h.Q.N
764,sadar,sa-dar,sVdVr,s.V-d.V.r
765,delapan,de-la-pan,d@lVpVn,d.@-l.V-p.V.n
766,kopi,ko-pi,kQpI,k.Q-p.I
767,akal,a-kal,VkVl,V-k.V.l
768,gelap,ge-lap,gelVp,g.e-l.V.p
769,master,mas-ter,mVst@r,m.V.s-t.@.r
770,garis,ga-ris,gVrIs,g.V-r.I.s
771,menolak,me-no-lak,m@nQlVk,m.@-n.Q-l.V.k
772,listrik,lis-trik,lIstrIk,l.I.s-t.r.I.k
773,calon,ca-lon,tSVlQn,tS.V-l.Q.n
774,penjaga,pen-ja-ga,p@ndZVgV,p.@.n-dZ.V-g.V
775,bos,bos,bQs,b.Q.s
776,mulut,mu-lut,mUlUt,m.U-l.U.t
777,meter,me-ter,met@r,m.e-t.@.r
778,rabu,ra-bu,rVbU,r.V-b.U
779,daya,da-ya,dVjV,d.V-j.V
780,tanggal,tang-gal,tVNgVl,t.V.N-g.V.l
781,lubang,lu-bang,lUbVN,l.U-b.V.N
782,pahlawan,pah-la-wan,pVhlVwVn,p.V.h-l.V-w.V.n
783,tarik,ta-rik,tVrIk,t.V-r.I.k
784,enak,e-nak,@nVk,@-n.V.k
785,gigi,gi-gi,gIgI,g.I-g.I
786,menyukai,me-nyu-kai,m@nYUkaI,m.@-nY.U-k.aI
787,memimpin,me-mim-pin,m@mImpIn,m.@-m.I.m-p.I.n
788,bidang,bi-dang,bIdVN,b.I-d.V.N
789,gereja,ge-re-ja,g@redZV,g.@-r.e-dZ.V
790,bau,bau,baU,b.aU
791,sepuluh,se-pu-luh,s@pUlUh,s.@-p.U-l.U.h
792,tenaga,te-na-ga,t@nVgV,t.@-n.V-g.V
793,kotoran,ko-to-ran,kQtQrVn,k.Q-t.Q-r.V.n
794,rambut,ram-but,rVmbUt,r.V.m-b.U.t
795,angka,ang-ka,VNkV,V.N-k.V
796,tertarik,ter-ta-rik,t@rtVrIk,t.@.r-t.V-r.I.k
797,daftar,daf-tar,dVftVr,d.V.f-t.V.r
798,lapar,la-par,lVpVr,l.V-p.V.r
799,jujur,ju-jur,dZUdZUr,dZ.U-dZ.U.r
800,mendukung,men-du-kung,m@ndUkUN,m.@.n-d.U-k.U.N
801,selasa,se-la-sa,s@lVsV,s.@-l.V-s.V
802,dewasa,de-wa-sa,d@wVsV,d.@-w.V-s.V
803,rendah,ren-dah,rendVh,r.e.n-d.V.h
804,mengingat,meng-i-ngat,m@NINVt,m.@.N-I-N.V.t
805,natal,na-tal,nVtVl,n.V-t.V.l
806,periksa,pe-rik-sa,p@rIksV,p.@-r.I.k-s.V
807,gunung,gu-nung,gUnUN,g.U-n.U.N
808,begini,be-gi-ni,b@gInI,b.@-g.I-n.I
809,resmi,res-mi,resmI,r.e.s-m.I
810,lni,i-ni,lnI,l-n.I
811,lampu,lam-pu,lVmpU,l.V.m-p.U
812,letnan,let-nan,letnVn,l.e.t-n.V.n
813,korupsi,ko-rup-si,kQrUpsI,k.Q-r.U.p-s.I
814,pelatih,pe-la-tih,p@lVtIh,p.@-l.V-t.I.h
815,paham,pa-ham,pVhVm,p.V-h.V.m
816,penyakit,pe-nya-kit,p@nYVkIt,p.@-nY.V-k.I.t
817,siswa,sis-wa,sIswV,s.I.s-w.V
818,suami,su-a-mi,sUVmI,s.U-V-m.I
819,energi,e-ner-gi,@nergI,@-n.e.r-g.I
820,sepatu,se-pa-tu,s@pVtU,s.@-p.V-t.U
821,otak,o-tak,QtVk,Q-t.V.k
822,normal,nor-mal,nQrmVl,n.Q.r-m.V.l
823,rusak,ru-sak,rUsVk,r.U-s.V.k
824,dewan,de-wan,dewVn,d.e-w.V.n
825,komputer,kom-pu-ter,kQmpUt@r,k.Q.m-p.U-t.@.r
826,kamis,ka-mis,kVmIs,k.V-m.I.s
827,angkat,ang-kat,VNkVt,V.N-k.V.t
828,gol,gol,gQl,g.Q.l
829,kakak,ka-kak,kVkVk,k.V-k.V.k
830,radio,ra-dio,rVdIQ,r.V-d.I.Q
831,mohon,mo-hon,mQhQn,m.Q-h.Q.n
832,direktur,di-rek-tur,dIrektUr,d.I-r.e.k-t.U.r
833,komisi,ko-mi-si,kQmIsI,k.Q-m.I-s.I
834,lelaki,le-la-ki,l@lVkI,l.@-l.V-k.I
835,serikat,se-ri-kat,s@rIkVt,s.@-r.I-k.V.t
836,kaya,ka-ya,kVjV,k.V-j.V
837,jawaban,ja-wab-an,dZVwVbVn,dZ.V-w.V.b-V.n
838,situ,si-tu,sItU,s.I-t.U
839,ayam,a-yam,VjVm,V-j.V.m
840,total,to-tal,tQtVl,t.Q-t.V.l
841,layak,la-yak,lVjVk,l.V-j.V.k
842,lembaga,lem-ba-ga,l@mbVgV,l.@.m-b.V-g.V
843,kursi,kur-si,kUrsI,k.U.r-s.I
844,triliun,tri-li-un,trIlIUn,t.r.I-l.I-U.n
845,nyaman,nya-man,nYVmVn,nY.V-m.V.n
846,bahaya,ba-ha-ya,bVhVjV,b.V-h.V-j.V
847,gerakan,ge-rak-an,g@rVkVn,g.@-r.V.k-V.n
848,tamu,ta-mu,tVmU,t.V-m.U
849,ilmu,il-mu,IlmU,I.l-m.U
850,terkenal,ter-ke-nal,t@rk@nVl,t.@.r-k.@-n.V.l
851,menjawab,men-ja-wab,m@ndZVwVb,m.@.n-dZ.V-w.V.b
852,bangga,bang-ga,bVNgV,b.V.N-g.V
853,jendela,jen-de-la,dZ@ndelV,dZ.@.n-d.e-l.V
854,peluru,pe-lu-ru,p@lUrU,p.@-l.U-r.U
855,pelaku,pe-la-ku,p@lVkU,p.@-l.V-k.U
856,pejabat,pe-ja-bat,p@dZVbVt,p.@-dZ.V-b.V.t
857,betul,be-tul,betUl,b.e-t.U.l
858,habis,ha-bis,hVbIs,h.V-b.I.s
859,pantas,pan-tas,pVntVs,p.V.n-t.V.s
860,hantu,han-tu,hVntU,h.V.n-t.U
861,langit,la-ngit,lVNIt,l.V-N.I.t
862,warna,war-na,wVrnV,w.V.r-n.V
863,padahal,pa-da-hal,pVdVhVl,p.V-d.V-h.V.l
864,juara,ju-a-ra,dZUVrV,dZ.U-V-r.V
865,sosial,so-si-al,sQsIVl,s.Q-s.I-V.l
866,medan,me-dan,medVn,m.e-d.V.n
867,motor,mo-tor,mQtQr,m.Q-t.Q.r
868,tas,tas,tVs,t.V.s
869,dinas,di-nas,dInVs,d.I-n.V.s
870,anggaran,ang-gar-an,VNgVrVn,V.N-g.V.r-V.n
871,mengejar,me-nge-jar,m@NedZVr,m.@-N.e-dZ.V.r
872,hakim,ha-kim,hVkIm,h.V-k.I.m
873,pacar,pa-car,pVtSVr,p.V-tS.V.r
874,hewan,he-wan,hewVn,h.e-w.V.n
875,sore,so-re,sQr@,s.Q-r.@
876,bakar,ba-kar,bVkVr,b.V-k.V.r
877,seni,se-ni,senI,s.e-n.I
878,stasiun,sta-si-un,stVsIUn,s.t.V-s.I-U.n
879,bermaksud,ber-mak-sud,b@rmVksUd,b.@.r-m.V.k-s.U.d
880,kucing,ku-cing,kUtSIN,k.U-tS.I.N
881,tersisa,ter-si-sa,t@rsIsV,t.@.r-s.I-s.V
882,berguna,ber-gu-na,b@rgUnV,b.@.r-g.U-n.V
883,mabuk,ma-buk,mVbUk,m.V-b.U.k
884,undang,un-dang,UndVN,U.n-d.V.N
885,tertentu,ter-ten-tu,t@rtentU,t.@.r-t.e.n-t.U
886,agama,a-ga-ma,VgVmV,V-g.V-m.V
887,awas,a-was,VwVs,V-w.V.s
888,provinsi,pro-vin-si,prQfInsI,p.r.Q-f.I.n-s.I
889,media,me-di-a,m@dIV,m.@-d.I-V
890,sehat,se-hat,sehVt,s.e-h.V.t
891,lahan,la-han,lVhVn,l.V-h.V.n
892,berlari,ber-la-ri,b@rlVrI,b.@.r-l.V-r.I
893,sisa,si-sa,sIsV,s.I-s.V
894,bangunan,ba-ngun-an,bVNUnVn,b.V-N.U.n-V.n
895,menghilang,meng-hi-lang,m@NhIlVN,m.@.N-h.I-l.V.N
896,perahu,pe-ra-hu,p@rVhU,p.@-r.V-h.U
897,mendorong,men-do-rong,m@ndQrQN,m.@.n-d.Q-r.Q.N
898,buangan,bu-ang-an,bUVNVn,b.U-V.N-V.n
899,tiap,ti-ap,tIVp,t.I-V.p
900,bus,bus,bUs,b.Us.
901,malu,ma-lu,mVlU,m.V-l.U
902,sektor,sek-tor,sektQr,s.e.k-t.Q.r
903,berharga,ber-har-ga,b@rhVrgV,b.@.r-h.V.r-g.V
904,tergantung,ter-gan-tung,t@rgVntUN,t.@.r-g.V.n-t.U.N
905,bandara,ban-da-ra,bVndVrV,b.V.n-d.V-r.V
906,publik,pub-lik,pUblIk,p.U.b-l.I.k
907,menyimpan,me-nyim-pan,m@nYImpVn,m.@-nY.I.m-p.V.n
908,bersumpah,ber-sum-pah,b@rsUmpVh,b.@.r-s.U.m-p.V.h
909,adil,a-dil,VdIl,V-d.I.l
910,mengatur,meng-a-tur,m@NVtUr,m.@.N-V-t.U.r
911,paul,pa-ul,paUl,p.a-U.l
912,biru,bi-ru,bIrU,b.I-r.U
913,mirip,mi-rip,mIrIp,m.I-r.I.p
914,taman,ta-man,tVmVn,t.V-m.V.n
915,kotor,ko-tor,kQtQr,k.Q-t.Q.r
916,yahudi,ya-hu-di,jVhUdI,j.V-h.U-d.I
917,rapat,ra-pat,rVpVt,r.V-p.V.t
918,sukses,suk-ses,sUks@s,s.U.k-s.@.s
919,walaupun,wa-lau-pun,wVlaUpUn,w.V-l.a.U-p.U.n
920,usia,u-si-a,UsIV,U-s.I-V
921,lepas,le-pas,lepVs,l.e-p.V.s
922,puluh,pu-luh,pUlUh,p.U-l.U.h
923,kue,ku-e,kU@,k.U-@
924,memotong,me-mo-tong,m@mQtQN,m.@-m.Q-t.Q.N
925,minuman,mi-num-an,mInUmVn,m.I-n.U.m-V.n
926,urusan,u-rus-an,UrUsVn,U-r.U.s-V.n
927,dewa,de-wa,dewV,d.e-w.V
928,halaman,ha-la-man,hVlVmVn,h.V-l.V-m.V.n
929,lelah,le-lah,lelVh,l.e-l.V.h
930,memegang,me-me-gang,m@megVN,m.@-m.e-g.V.N
931,idiot,i-di-ot,IdIQt,I-d.I-Q.t
932,baju,ba-ju,bVdZU,b.V-dZ.U
933,jari,ja-ri,dZVrI,dZ.V-r.I
934,jaringan,ja-ri-ngan,dZVrINVn,dZ.V-r.I-N.V.n
935,berjuang,ber-ju-ang,b@rdZUVN,b.@.r-dZ.U-V.N
936,terdengar,ter-de-ngar,t@rdeNVr,t.@.r-d.e-N.V.r
937,bir,bir,bIr,b.I.r
938,sabtu,sab-tu,sVbtU,s.V.b-t.U
939,sebut,se-but,sebUt,s.e-b.U.t
940,wartawan,war-ta-wan,wVrtVwVn,w.V.r-t.V-w.V.n
941,produksi,pro-duk-si,prQdUksI,p.r.Q-d.U.k-s.I
942,rata,ra-ta,rVtV,r.V-t.V
